Country Name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Afghanistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.44,1.06,11.18,5.55,13.74,3.61,21.02,8.43,6.11,14.43,1.96,1.31,1.52
Albania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.75,2.95,1.10,-1.25,1.78,5.64,-0.79,-1.42,9.84,-9.58,-29.59,-7.20,9.60,8.30,13.30,9.10,-10.84,9.01,13.50,6.67,7.94,4.23,5.77,5.71,5.72,5.43,5.90,7.53,3.35,3.71,2.55,1.42,1.11,2.00,2.56
Algeria,-13.61,-19.69,34.31,5.84,6.21,-4.80,9.45,10.80,8.43,8.86,-11.33,27.42,3.81,7.49,5.05,8.39,5.26,9.21,7.48,0.79,3.00,6.40,5.40,5.60,3.70,0.40,-0.70,-1.00,4.40,0.80,-1.20,1.80,-2.10,-0.90,3.80,4.10,1.10,5.10,3.20,3.80,3.00,5.60,7.20,4.30,5.90,1.70,3.40,2.40,1.60,3.60,2.90,3.40,2.80,3.80,3.90
American Samoa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,..,..,..,..,..,..,..,..,..,..,4.65,8.15,7.79,5.62,0.54,3.30,2.84,1.46,0.04,2.21,-0.13,1.25,1.77,1.78,2.32,3.25,5.55,5.09,4.83,3.78,2.55,0.93,-1.03,2.38,2.76,4.65,9.07,3.19,4.10,1.17,6.07,6.43,12.02,8.07,7.84,4.59,0.08,-8.59,-3.82,-5.35,-4.80,-1.76,-0.06,..,..
Angola,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.80,7.90,5.60,0.40,-0.30,-1.20,-6.90,-24.70,3.50,10.40,11.20,7.90,6.80,3.24,3.01,4.22,-6.94,5.25,10.88,18.26,20.74,22.59,13.82,2.41,3.41,3.92,5.16,6.81,4.80,3.00
Antigua and Barbuda,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.18,7.34,8.60,4.08,0.17,4.68,9.75,7.99,12.72,8.26,5.42,5.77,2.55,2.04,0.85,5.39,6.33,-4.18,6.74,4.89,4.41,4.12,5.04,-3.19,2.92,5.91,5.29,6.08,13.38,9.50,0.07,-12.04,-7.14,-1.79,4.02,-0.35,4.82,3.66
Argentina,5.43,-0.85,-5.31,10.13,10.57,-0.66,3.19,4.82,9.68,3.05,5.66,1.63,2.81,5.53,-0.03,-2.02,6.93,-4.51,10.22,4.15,-5.69,-4.96,3.88,2.21,-7.59,7.88,2.91,-2.56,-7.50,-2.40,12.67,11.94,5.91,5.84,-2.85,5.53,8.11,3.85,-3.39,-0.79,-4.41,-10.89,8.84,9.03,9.20,8.40,7.97,3.07,0.05,9.45,8.39,0.80,2.89,0.45,..
Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-11.70,-41.80,-8.80,5.40,6.90,5.87,3.32,7.30,3.30,5.90,9.56,13.19,14.04,10.47,13.87,13.20,13.75,6.90,-14.15,2.20,4.70,7.20,3.30,3.50,3.00
Aruba,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.25,7.81,6.67,1.15,4.51,-0.36,-2.16,0.47,7.52,1.18,0.38,2.36,-3.65,-6.88,-5.65,..,..,..,..,..,..
