Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,50.78,50.76,50.75,50.73,50.72,50.70,50.69,50.67,50.65,50.64,50.62,50.61,50.59,50.58,50.56,50.55,50.53,50.52,50.50,50.49,50.47,50.46,50.44,50.43,50.41,50.40,50.38,50.37,50.35,50.34,50.32,50.30,50.00,49.59,49.18,48.77,48.36,47.95,47.54,47.13,46.72,46.34,45.97,45.61,45.24,44.88,44.51,44.15,43.78,43.42,43.06,42.70,42.36,42.06,41.78,41.53
Andorra,58.45,60.98,63.46,65.87,68.21,70.45,72.59,74.64,76.59,78.42,80.16,81.78,83.30,84.72,86.03,87.25,88.38,89.42,90.38,91.26,92.06,92.80,93.47,94.09,94.65,95.16,95.33,95.18,95.03,94.87,94.71,94.53,94.32,94.11,93.89,93.66,93.43,93.18,92.93,92.67,92.40,92.06,91.64,91.21,90.75,90.30,89.84,89.36,88.87,88.35,87.82,87.26,86.71,86.17,85.63,85.12
Afghanistan,8.22,8.51,8.81,9.11,9.43,9.75,10.09,10.43,10.79,11.15,11.53,11.92,12.32,12.73,13.15,13.58,14.03,14.49,14.96,15.44,15.68,15.93,16.18,16.44,16.70,16.96,17.22,17.49,17.76,18.04,18.32,18.60,18.88,19.17,19.46,19.76,20.06,20.36,20.66,20.97,21.28,21.60,21.92,22.24,22.56,22.90,23.24,23.59,23.95,24.31,24.69,25.07,25.47,25.87,26.28,26.70
Angola,10.44,10.80,11.20,11.62,12.06,12.50,12.97,13.44,13.93,14.44,14.96,15.43,15.88,16.32,16.79,17.26,17.74,18.23,18.73,19.24,19.77,20.30,20.84,21.40,21.97,22.54,23.13,23.73,24.33,24.95,25.58,26.22,26.87,27.53,28.20,28.88,29.57,30.27,30.98,31.69,32.42,33.15,33.90,34.65,35.41,36.17,36.94,37.72,38.51,39.30,40.10,40.90,41.70,42.49,43.27,44.05
Albania,30.71,30.94,31.02,31.09,31.16,31.23,31.30,31.37,31.45,31.55,31.74,31.93,32.13,32.32,32.52,32.71,32.91,33.11,33.30,33.50,33.76,34.02,34.29,34.55,34.82,35.08,35.35,35.62,35.89,36.16,36.43,36.70,37.25,37.80,38.35,38.91,39.47,40.04,40.60,41.17,41.74,42.44,43.50,44.57,45.65,46.73,47.82,48.90,49.99,51.08,52.16,53.25,54.33,55.38,56.41,57.41
Arab World,31.29,32.04,32.78,33.56,34.36,35.20,35.99,36.68,37.37,38.08,38.80,39.50,40.23,40.95,41.59,42.20,42.78,43.30,43.82,44.34,44.88,45.45,46.02,46.63,47.27,47.89,48.50,49.04,49.49,49.89,50.44,50.81,50.79,51.14,51.39,51.88,52.06,52.28,52.54,52.81,53.08,53.35,53.62,53.91,54.21,54.54,54.89,55.25,55.61,55.96,56.30,56.63,56.94,57.25,57.54,57.82
United Arab Emirates,73.50,74.38,75.25,76.09,76.92,77.72,78.51,79.27,79.80,79.80,79.80,79.80,79.80,79.80,79.80,79.80,79.90,80.11,80.31,80.51,80.71,80.68,80.47,80.25,80.03,79.80,79.62,79.48,79.34,79.20,79.05,78.91,78.76,78.61,78.47,78.32,78.49,78.94,79.38,79.81,80.24,80.66,81.07,81.47,81.87,82.26,82.65,83.02,83.38,83.72,84.06,84.38,84.68,84.98,85.27,85.54
Argentina,73.61,74.22,74.77,75.31,75.84,76.37,76.89,77.40,77.90,78.39,78.88,79.32,79.74,80.16,80.57,80.97,81.37,81.76,82.14,82.52,82.89,83.31,83.76,84.19,84.62,85.04,85.45,85.84,86.23,86.61,86.98,87.33,87.54,87.75,87.96,88.16,88.37,88.56,88.76,88.95,89.14,89.33,89.52,89.71,89.90,90.08,90.27,90.45,90.62,90.80,90.97,91.13,91.30,91.45,91.60,91.75
Armenia,51.28,52.15,53.02,53.89,54.76,55.62,56.48,57.34,58.20,59.04,59.86,60.66,61.45,62.23,63.00,63.61,64.22,64.82,65.42,65.84,66.05,66.26,66.47,66.68,66.88,67.09,67.30,67.50,67.71,67.69,67.42,67.15,66.88,66.61,66.33,66.06,65.78,65.50,65.23,64.95,64.67,64.39,64.28,64.25,64.22,64.18,64.15,64.12,64.00,63.79,63.58,63.37,63.16,62.98,62.81,62.67
American Samoa,66.21,66.64,67.07,67.49,67.92,68.33,68.75,69.16,69.57,69.98,70.38,70.78,71.18,71.58,71.97,72.35,72.74,73.12,73.50,73.87,74.33,75.04,75.74,76.43,77.10,77.76,78.41,79.04,79.66,80.26,80.95,81.89,82.79,83.65,84.49,85.28,86.04,86.77,87.47,88.13,88.59,88.49,88.39,88.30,88.20,88.10,88.00,87.90,87.80,87.70,87.59,87.50,87.41,87.33,87.26,87.20
Antigua and Barbuda,39.66,39.04,38.43,37.82,37.21,36.61,36.01,35.42,34.83,34.25,33.82,33.90,33.98,34.06,34.14,34.22,34.30,34.38,34.46,34.54,34.62,34.70,34.78,34.86,34.94,35.02,35.10,35.18,35.26,35.35,35.43,35.47,35.09,34.71,34.33,33.96,33.59,33.22,32.86,32.49,32.13,31.74,31.10,30.47,29.84,29.22,28.61,28.00,27.41,26.82,26.24,25.67,25.14,24.64,24.19,23.77
Australia,81.53,81.94,82.34,82.73,83.11,83.49,83.86,84.22,84.57,84.92,85.27,85.60,85.68,85.76,85.84,85.92,86.00,85.94,85.88,85.82,85.76,85.70,85.64,85.58,85.52,85.46,85.40,85.40,85.40,85.40,85.40,85.40,85.57,85.75,85.93,86.11,86.28,86.50,86.73,86.95,87.17,87.38,87.54,87.70,87.85,88.00,88.15,88.30,88.45,88.59,88.73,88.88,89.02,89.15,89.29,89.42
Austria,64.72,64.81,64.86,64.91,64.96,65.01,65.06,65.11,65.16,65.21,65.26,65.30,65.31,65.32,65.33,65.34,65.35,65.36,65.37,65.38,65.39,65.41,65.45,65.49,65.53,65.57,65.61,65.65,65.69,65.73,65.77,65.80,65.80,65.80,65.80,65.80,65.80,65.80,65.80,65.80,65.80,65.80,65.81,65.81,65.82,65.82,65.83,65.84,65.84,65.85,65.85,65.86,65.86,65.88,65.92,65.97
Azerbaijan,52.66,52.36,52.06,51.76,51.46,51.16,50.86,50.56,50.26,49.96,50.01,50.46,50.92,51.37,51.70,51.90,52.10,52.29,52.49,52.66,52.78,52.90,53.02,53.14,53.30,53.50,53.70,53.90,54.09,54.06,53.75,53.44,53.13,52.82,52.52,52.21,51.90,51.59,51.28,51.19,51.39,51.59,51.79,51.99,52.19,52.39,52.59,52.79,52.99,53.19,53.40,53.62,53.86,54.10,54.36,54.62
Burundi,2.08,2.12,2.15,2.19,2.23,2.29,2.40,2.50,2.61,2.73,2.85,2.97,3.10,3.24,3.38,3.53,3.68,3.84,4.01,4.18,4.34,4.50,4.67,4.85,5.03,5.22,5.42,5.62,5.83,6.05,6.27,6.46,6.64,6.82,7.01,7.21,7.41,7.62,7.83,8.04,8.25,8.46,8.68,8.91,9.14,9.38,9.62,9.86,10.12,10.38,10.64,10.91,11.19,11.47,11.76,12.06
Belgium,92.46,92.55,92.68,92.84,92.99,93.14,93.28,93.43,93.57,93.71,93.84,93.98,94.11,94.23,94.36,94.48,94.60,94.81,95.01,95.20,95.38,95.54,95.64,95.74,95.84,95.93,96.02,96.12,96.20,96.29,96.38,96.46,96.54,96.62,96.70,96.78,96.85,96.92,97.00,97.07,97.13,97.18,97.24,97.29,97.35,97.40,97.45,97.50,97.55,97.59,97.64,97.69,97.73,97.78,97.82,97.86
