,year,artist.inverted,track,time,genre,date.entered,date.peaked,Highest Rank
0,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,1.0
1,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,1.0
2,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,1.0
3,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,1.0
4,2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,1.0
5,2000,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,1.0
6,2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,1.0
7,2000,"Iglesias, Enrique",Be With You,3:36,Latin,2000-04-01,2000-06-24,1.0
8,2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,1.0
9,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,1.0
10,2000,N'Sync,It's Gonna Be Me,3:10,Rock,2000-05-06,2000-07-29,1.0
11,2000,"Aguilera, Christina",What A Girl Wants,3:18,Rock,1999-11-27,2000-01-15,1.0
12,2000,Vertical Horizon,Everything You Want,4:01,Rock,2000-01-22,2000-07-15,1.0
13,2000,Creed,With Arms Wide Open,3:52,Rock,2000-05-13,2000-11-11,1.0
14,2000,Aaliyah,Try Again,4:03,Rock,2000-03-18,2000-06-17,1.0
15,2000,matchbox twenty,Bent,4:12,Rock,2000-04-29,2000-07-22,1.0
16,2000,"Carey, Mariah",Thank God I Found You,4:14,Rock,1999-12-11,2000-02-19,1.0
17,2000,"Hill, Faith",Breathe,4:04,Rap,1999-11-06,2000-04-22,2.0
18,2000,Mya,Case Of The Ex (Whatcha Gonna Do),3:50,Rock,2000-08-19,2000-12-02,2.0
19,2000,Dream,He Loves U Not,3:43,Rock,2000-09-30,2000-12-30,2.0
20,2000,"Braxton, Toni",He Wasn't Man Enough,4:21,Rock,2000-03-18,2000-05-06,2.0
21,2000,"Anthony, Marc",You Sang To Me,3:50,Latin,2000-02-26,2000-06-03,2.0
22,2000,98¡,Give Me Just One Night (Una Noche),3:24,Rock,2000-08-19,2000-09-30,2.0
23,2000,Destiny's Child,Jumpin' Jumpin',3:48,Rock,2000-05-13,2000-08-19,3.0
24,2000,3 Doors Down,Kryptonite,3:53,Rock,2000-04-08,2000-11-11,3.0
25,2000,Sisqo,Thong Song,4:05,Rock,2000-01-29,2000-05-20,3.0
26,2000,"Aguilera, Christina",I Turn To You,4:00,Rock,2000-04-15,2000-07-01,3.0
27,2000,"Houston, Whitney",My Love Is Your Love,4:16,Rock,1999-09-04,2000-01-08,4.0
28,2000,Joe,I Wanna Know,4:57,Rock,2000-01-01,2000-07-01,4.0
29,2000,"Jordan, Montell",Get It On.. Tonite,4:34,Rap,1999-10-23,2000-02-12,4.0
30,2000,N'Sync,Bye Bye Bye,3:15,Rock,2000-01-29,2000-04-15,4.0
31,2000,Eminem,The Real Slim Shady,4:42,Rap,2000-05-06,2000-06-24,4.0
32,2000,Pink,Most Girls,4:06,Rock,2000-08-12,2000-11-25,4.0
33,2000,"Mumba, Samantha",Gotta Tell You,3:19,Rock,2000-09-09,2000-12-09,4.0
34,2000,Blaque,Bring It All To Me,3:46,Pop,1999-10-23,2000-01-22,5.0
35,2000,"Elliott, Missy ""Misdemeanor""",Hot Boyz,3:51,Rap,1999-11-27,2000-01-08,5.0
36,2000,"Gray, Macy",I Try,3:52,Rock,2000-02-19,2000-05-20,5.0
37,2000,N'Sync,This I Promise You,4:23,Rock,2000-09-30,2000-12-02,5.0
38,2000,Ruff Endz,No More,3:56,Rock,2000-07-01,2000-09-02,5.0
39,2000,"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,3:54,Rock,2000-01-01,2000-03-18,6.0
40,2000,Nine Days,Absolutely (Story Of A Girl),3:09,Rock,2000-05-06,2000-07-22,6.0
41,2000,"Dion, Celine",That's The Way It Is,4:03,Rock,1999-11-13,2000-03-04,6.0
42,2000,Blink-182,All The Small Things,2:52,Rock,1999-12-04,2000-02-19,6.0
43,2000,Eiffel 65,Blue (Da Ba Dee),3:29,Electronica,1999-12-11,2000-01-29,6.0
44,2000,"Badu, Erkyah",Bag Lady,5:03,Rock,2000-08-19,2000-10-07,6.0
45,2000,Pink,There U Go,3:23,Rock,2000-03-04,2000-04-08,7.0
46,2000,Creed,Higher,5:16,Rock,1999-09-11,2000-07-22,7.0
47,2000,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,2000-09-16,7.0
48,2000,Next,Wifey,4:03,Rock,2000-05-27,2000-09-09,7.0
49,2000,Kenny G,Auld Lang Syne (The Millenium Mix),7:50,Jazz,1999-12-25,2000-01-08,7.0
50,2000,Sonique,It Feels So Good,3:48,Rock,2000-01-22,2000-04-22,8.0
51,2000,"Spears, Britney",Oops!.. I Did It Again,3:30,Rock,2000-04-22,2000-06-10,9.0
52,2000,"Backstreet Boys, The",Shape Of My Heart,3:49,Rock,2000-10-14,2000-12-02,9.0
53,2000,Everclear,Wonderful,4:30,Rock,2000-07-08,2000-09-30,11.0
54,2000,Ja Rule,Between Me And You,4:05,Rap,2000-09-16,2000-11-18,11.0
55,2000,"Rimes, LeAnn",I Need You,3:42,Country,2000-05-27,2000-08-12,11.0
56,2000,Smash Mouth,Then The Morning Comes,3:04,Rock,1999-10-30,2000-01-29,11.0
57,2000,Jay-Z,I Just Wanna Love U (Give It 2 Me),3:50,Rap,2000-10-28,2000-12-30,11.0
58,2000,Jagged Edge,Let's Get Married,4:23,Rock,2000-05-06,2000-07-29,11.0
59,2000,Filter,Take A Picture,4:23,Rock,1999-11-27,2000-02-05,12.0
