,County,Store Number,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Total Cost (Dollars),Total Sales (Dollars),Total Profit (Dollars),Average Price per Bottle
0,Adair,2421954,592500,5438.68,8167.77,4650,55544.2,4359.84,25289862.0,37980130.5,12690268.5,8167.77
1,Adams,544518,238100,2377.94,3569.26,955,12441.71,981.38,2270932.7,3408643.3,1137710.6,3569.26
2,Allamakee,3808345,1103075,10411.7,15633.75,7450,99000.0,7868.04,77567165.0,116471437.5,38904272.5,15633.75
3,Appanoose,3550211,1012475,9903.4,14873.31,8171,98429.87,8038.16,80920681.4,121529816.01,40609134.61,14873.31
4,Audubon,984183,232950,1982.02,2977.61,1694,19655.54,1717.8,3357541.88,5044071.34,1686529.46,2977.61
5,Benton,4110056,1008025,9140.1,13723.8,6449,80035.12,6766.77,58944504.9,88504786.2,29560281.3,13723.8
6,Black Hawk,55518742,12875925,140519.84,211004.85,172713,1928016.71,131951.74,24269603125.9,36443280658.1,12173677532.1,211004.85
7,Boone,7581551,2015175,19480.05,29258.15,17233,223064.24,17533.54,335699701.65,504205698.95,168505997.3,29258.15
8,Bremer,7853677,2251125,22091.72,33182.25,15186,204649.54,16009.78,335484859.92,503905648.5,168420788.58,33182.25
9,Buchanan,6639721,1539300,15406.56,23132.47,12876,166329.76,12949.08,198374866.56,297853683.72,99478817.16,23132.47
10,Buena Vista,8061288,2596825,28489.58,42782.77,15822,213652.11,14976.8,450762134.76,676908986.94,226146852.18,42782.77
11,Butler,1730636,421625,3501.71,5261.68,2858,34099.63,3121.87,10007887.18,15037881.44,5029994.26,5261.68
12,Calhoun,1979131,432950,3569.1,5360.55,2987,35992.53,3001.38,10660901.7,16011962.85,5351061.15,5360.55
13,Carroll,6352049,1890850,18741.69,28148.48,20817,306795.07,22868.38,390145760.73,585966908.16,195821147.43,28148.48
14,Cass,4025292,1183375,11931.56,17913.38,9585,130100.14,10057.72,114364002.6,171699747.3,57335744.7,17913.38
15,Cedar,4679309,950375,8652.44,13000.53,6350,72374.59,5894.43,54942994.0,82553365.5,27610371.5,13000.53
16,Cerro Gordo,21678579,6302100,64120.67,96294.19,54479,694953.9,52733.77,3493229980.93,5246011177.01,1752781196.08,96294.19
17,Cherokee,3418612,927025,8366.37,12573.21,7697,87133.28,6940.44,64395949.89,96775997.37,32380047.48,12573.21
